year,country,ACT
1998,India,NA
1998,India,NA
1998,India,NA
1998,India,NA
1998,India,NA
1998,India,NA
1991,Yemen,NA
2013,Yemen,NA
2002,Indonesia,NA
2007,Indonesia,NA
2012,Indonesia,0.002608903
2017,Indonesia,0.001048419
2000,Cambodia,NA
2005,Cambodia,0.000140837
2010,Cambodia,NA
2014,Cambodia,0.000949249
2021,Cambodia,0.009198144
2016,Myanmar,0.002100777
1993,Philippines,NA
1998,Philippines,NA
2003,Philippines,NA
2008,Philippines,NA
2013,Philippines,NA
2017,Philippines,0.000795941
2022,Philippines,0.000413611
2009,Timor-Leste,0.001722564
2016,Timor-Leste,0.010726537
1997,Vietnam,NA
2002,Vietnam,NA
1991,Brazil,NA
1996,Brazil,NA
1990,Colombia,NA
1995,Colombia,NA
2000,Colombia,NA
2005,Colombia,NA
2010,Colombia,NA
2005,Guyana,0
2009,Guyana,0
1991,Peru,NA
1996,Peru,NA
2000,Peru,NA
2008,Peru,NA
2008,Peru,NA
2005,Honduras,0.000509696
2011,Honduras,0
1998,Nicaragua,NA
2001,Nicaragua,NA
2016,Papua New Guinea,0.00746812
