lat,long,displayName,layerName,layerTitle,year,value
25.0458,102.70999999999998,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0
19.099900000000005,108.667,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0
33.900000000000006,113.49999999999999,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0
24.400099999999995,95.8536,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0.004707688931375742
25.850899999999996,97.4381,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0.0036567682400345802
24.789199999999965,97.55580000000002,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0.012876604683697224
24.76000000000002,97.5633,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0.012876604683697224
24.617599999999996,97.9977,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0.00023260204761754721
21.738600000000005,98.23809999999999,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0.02909194864332676
24.447299999999984,98.5929,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0.0004993496695533395
24.752300000000005,97.5822,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0.012876604683697224
26.985,94.6394,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0.0031417226418852806
27.4979,95.34449999999998,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0.013804054819047451
27.493499999999983,95.3462,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0.013804054819047451
27.136099999999985,95.73839999999998,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0.03701839968562126
27.9242,96.1717,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0.24364018440246582
27.472800000000007,94.912,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0.02364153414964676
26.048699999999997,92.90990000000001,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0.00034571136347949505
26.52080000000001,93.9647,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0.008089435286819935
27.2414,94.1056,"Global Pf Parasite Rate","Malaria:202206_Global_Pf_Parasite_Rate","Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2000,0.0012209187261760235
