country,Region,lat,long,displayName,layerName,layerTitle,year,value,continent,val,tested,prev,title,pubMedId,sid,mutation,site,estLoc,present,authors,PR,Prev_DR,mean_act,du_obs,num_obs,sum_data
Cambodia,SEA,13.1,103.2,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2002,0.00356900645419955,Asia,associated with slow clearance,64,7.81% [3.38 - 17.02],NA,24352242,JFMKA,C580Y,Battambang,0,5,A molecular marker of artemisinin-resistant Plasmodium falciparum malaria.,0.35690064541995525,7.8125,1.8379883878939595e-4,0,3,0.010288144
Cambodia,SEA,13.1,103.2,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2002,0.00356900645419955,Asia,associated with slow clearance,64,7.81% [3.38 - 17.02],NA,24352242,JFMKA,C580Y,Battambang,0,5,A molecular marker of artemisinin-resistant Plasmodium falciparum malaria.,0.35690064541995525,7.8125,1.8379883878939595e-4,0,3,0.010288144
Cambodia,SEA,13.1,103.2,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2002,0.00356900645419955,Asia,associated with slow clearance,64,7.81% [3.38 - 17.02],NA,24352242,JFMKA,C580Y,Battambang,0,5,A molecular marker of artemisinin-resistant Plasmodium falciparum malaria.,0.35690064541995525,7.8125,1.8379883878939595e-4,0,3,0.010288144
Cambodia,SEA,13.1,103.2,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2002,0.00356900645419955,Asia,associated with slow clearance,64,7.81% [3.38 - 17.02],NA,24352242,JFMKA,C580Y,Battambang,0,5,A molecular marker of artemisinin-resistant Plasmodium falciparum malaria.,0.35690064541995525,7.8125,1.8379883878939595e-4,0,3,0.010288144
Cambodia,SEA,12.86,102.61,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2002,0.15264837443828583,Asia,associated with slow clearance,40,45.0% [30.71 - 60.17],NA,24352242,JFMKA,C580Y,Pailin,0,18,A molecular marker of artemisinin-resistant Plasmodium falciparum malaria.,15.264837443828585,45,1.8379883878939595e-4,0,3,0.010288144
Cambodia,SEA,12.86,102.61,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2002,0.15264837443828583,Asia,associated with slow clearance,40,45.0% [30.71 - 60.17],NA,24352242,JFMKA,C580Y,Pailin,0,18,A molecular marker of artemisinin-resistant Plasmodium falciparum malaria.,15.264837443828585,45,1.8379883878939595e-4,0,3,0.010288144
Cambodia,SEA,12.86,102.61,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2004,0.13420869410037994,Asia,associated with slow clearance,43,58.14% [43.33 - 71.62],NA,24352242,JFMKA,C580Y,Pailin,0,25,A molecular marker of artemisinin-resistant Plasmodium falciparum malaria.,13.420869410037994,58.139534883720934,1.885542653484342e-4,0,3,0.010288144
Cambodia,SEA,12.86,102.61,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2004,0.13420869410037994,Asia,associated with slow clearance,43,58.14% [43.33 - 71.62],NA,24352242,JFMKA,C580Y,Pailin,0,25,A molecular marker of artemisinin-resistant Plasmodium falciparum malaria.,13.420869410037994,58.139534883720934,1.885542653484342e-4,0,3,0.010288144
Cambodia,SEA,12.54,103.92,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2004,0.00342276412993669,Asia,associated with slow clearance,10,40.0% [16.82 - 68.73],NA,24352242,JFMKA,C580Y,Pursat,0,4,A molecular marker of artemisinin-resistant Plasmodium falciparum malaria.,0.3422764129936695,40,1.885542653484342e-4,0,3,0.010288144
Cambodia,SEA,12.54,103.92,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2004,0.00342276412993669,Asia,associated with slow clearance,10,40.0% [16.82 - 68.73],NA,24352242,JFMKA,C580Y,Pursat,0,4,A molecular marker of artemisinin-resistant Plasmodium falciparum malaria.,0.3422764129936695,40,1.885542653484342e-4,0,3,0.010288144
